,Iteration,Fidelity Level,Objective Values
0,15,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1693.0081404882262, 9.912517434025837, 0.15053624809213947]"
1,16,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1680.3605321847801, 9.335169853561139, 0.131188209599966]"
2,17,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1689.8282079642572, 11.465128596615655, 0.07146230726534014]"
3,18,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1685.1483927305194, 9.384428475471061, 0.1317469177429147]"
4,19,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1682.1595102445035, 8.867500243911353, 0.1658442195155579]"
5,20,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1679.3019917839274, 9.26524282893586, 0.1286612600045023]"
6,21,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1688.9361661341688, 10.332997538085474, 0.11146636736642072]"
7,22,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1695.4813591767056, 10.406870097781447, 0.14766978361053953]"
8,23,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1695.4815732949276, 10.878115113719367, 0.10487938421999765]"
9,24,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1694.5283939475012, 11.427535366477912, 0.09932721840078712]"
10,25,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1694.6002824816096, 11.499169421249588, 0.08966586099497852]"
11,26,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1696.07467179371, 10.792082343205188, 0.11604833045225858]"
12,27,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1697.5579464141904, 10.82801145032188, 0.10708549273522978]"
13,28,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1701.501873373259, 10.795578085693885, 0.11961719754921124]"
14,29,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1701.180997746626, 10.527124238063832, 0.12284199775220819]"
15,30,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1700.3799966983054, 10.782819198211296, 0.09302107036479054]"
16,31,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1701.641736628797, 11.03493770985162, 0.11060976221778296]"
17,32,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1698.431548043384, 10.6103235235284, 0.09920470334588175]"
18,33,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1699.7452323800971, 10.905202386519072, 0.12333769576556652]"
19,34,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1699.2533346244322, 11.21389110472257, 0.10164391063240195]"
20,35,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1700.0529114241158, 11.134679192416508, 0.09716374049687602]"
21,36,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1699.9780406789828, 10.547712779709913, 0.11045379002718443]"
22,37,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1701.2128255311702, 10.820578811455539, 0.13693597181612555]"
23,38,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1700.402841515385, 11.14045045295874, 0.11642915935745951]"
24,39,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1699.7425042550258, 10.826580686271472, 0.132483476558762]"
25,40,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1700.1088827097587, 10.690117133557159, 0.09542447987561689]"
26,41,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1699.98491628423, 10.999954579529437, 0.11068404331375624]"
27,42,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1700.5633204472938, 10.79343036145574, 0.12812557609447003]"
28,43,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1702.0222791195438, 10.898184863367026, 0.12960742408950346]"
29,44,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1698.7007766581057, 10.191852179631997, 0.11720010443508415]"
30,45,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1701.6421717952703, 10.789585476279145, 0.12937697479105242]"
31,46,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1699.2569111163325, 10.705613048991019, 0.10628179397366193]"
32,47,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1702.5234326805432, 10.689083457939422, 0.13424467695037337]"
33,48,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1699.2118515472814, 11.050068385154008, 0.10664816442194615]"
34,49,"{'Phi_f1': 1, 'Phi_f2': 2, 'Phi_f3': 3}","[1699.6120446516304, 10.879311498737163, 0.10369914064781044]"
